quote,author,tags,likes
"“We’re all a little weird. And life is a little weird. And when we find someone whose weirdness is compatible with ours, we join up with them and fall into mutually satisfying weirdness—and call it love—true love.”","Robert Fulghum,","['love', 'weirdness']",21199
"“Love never dies a natural death. It dies because we don't know how to replenish its source. It dies of blindness and errors and betrayals. It dies of illness and wounds; it dies of weariness, of witherings, of tarnishings.”",Anais Nin,"['death', 'love']",21168
"“What really knocks me out is a book that, when you're all done reading it, you wish the author that wrote it was a terrific friend of yours and you could call him up on the phone whenever you felt like it. That doesn't happen much, though.”","J.D. Salinger,","['authors', 'books', 'literature', 'reading', 'writing']",21090
"“I would venture to guess that Anon, who wrote so many poems without signing them, was often a woman.”","Virginia Woolf,",['women'],21024
“Some infinities are bigger than other infinities.”,"John Green,","['infinity', 'john-green', 'life', 'tfios', 'the-fault-in-our-stars']",20979
“Do one thing every day that scares you.”,Eleanor Roosevelt,"['attributed', 'fear', 'inspiration']",20855
“It is what you read when you don't have to that determines what you will be when you can't help it.”,Oscar Wilde,"['books', 'reading']",20725
"“The trouble with having an open mind, of course, is that people will insist on coming along and trying to put things in it.”","Terry Pratchett,","['humor', 'open-mind', 'thinking']",20689
“If I had a flower for every time I thought of you...I could walk through my garden forever.”,Alfred Tennyson,"['friendship', 'love']",20532
“Time you enjoy wasting is not wasted time.”,"Marthe Troly-Curtin,","['happiness', 'misattributed-john-lennon', 'procrastination', 'time']",20432
“Not all those who wander are lost.”,"J.R.R. Tolkien,","['bilbo', 'journey', 'lost', 'quest', 'travel', 'wander']",20375
“Reality continues to ruin my life.”,"Bill Watterson,","['calvin-and-hobbes', 'humor', 'life']",20307
"“One must always be careful of books,"" said Tessa, ""and what is inside them, for words have the power to change us.”","Cassandra Clare,",['books'],20249
"“There is no pretending,"" Jace said with absolute clarity. ""I love you, and I will love you until I die, and if there is life after that, I'll love you then.”","Cassandra Clare,","['mortal-instruments', 'romance', 'teen-fantasy']",20124
“Things change. And friends leave. Life doesn't stop for anybody.”,"Stephen Chbosky,","['change', 'life']",20049
“Who are you to judge the life I live?I know I'm not perfect-and I don't live to be-but before you start pointing fingers...make sure you hands are clean!”,Bob Marley,"['judge', 'life', 'live', 'perfection']",20049
